study_id,database_source,title,abstract,year,author,journal,doi,url,keywords,notes_spillover,has_hard_kill,has_soft_kill,has_addict,has_tech,is_high_priority,exclude_flag,screening_notes
GPS_DEC_0156,PsycINFO,"Predicting alcohol use from genome-wide polygenic scores, environmental factors, and their interactions in young adulthood","Objective: Alcohol use during emerging adulthood is associated with adverse life outcomes, but its risk factors are not well known. Here, we predicted alcohol use in 3153 young adults aged 22 years from a) genome-wide polygenic scores (GPS) based on genome-wide association studies for the target phenotypes number of drinks per week and Alcohol Use Disorders Identification Test scores, b) 30 environmental factors, and c) their interactions (i.e., G * E effects). Methods: Data were collected from 1994 to 2018 as a part of the UK Twins Early Development Study. Results: GPS accounted for up to 1.9% of the variance in alcohol use (i.e., Alcohol Use Disorders Identification Test score), whereas the 30 measures of environmental factors together accounted for 21.1%. The 30 GPS by environment interactions did not explain any additional variance, and none of the interaction terms exceeded the significance threshold after correcting for multiple testing. Conclusions: GPS and some environmental factors significantly predicted alcohol use in young adulthood, but we observed no GPS by environment interactions in our study. (PsycInfo Database Record (c) 2025 APA, all rights reserved) (Source: journal abstract)",2022,"Kandaswamy, Radhika and Allegrini, Andrea and Nancarrow, Alexandra F. and Cave, Sophie Nicole and Plomin, Robert and von Stumm, Sophie",Psychosomatic Medicine,https://dx.doi.org/10.1097/PSY.0000000000001005,http://sk8es4mc2l.search.serialssolutions.com/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rfr_id=info:sid/Ovid:med21&rft.genre=article&rft_id=info:doi/10.1097%2FPSY.0000000000001005&rft_id=info:pmid/34469941&rft.issn=0033-3174&rft.volume=84&rft.issue=2&rft.spage=244&rft.pages=244-250&rft.date=2022&rft.jtitle=Psychosomatic+Medicine&rft.atitle=Predicting+Alcohol+Use+From+Genome-Wide+Polygenic+Scores%2C+Environmental+Factors%2C+and+Their+Interactions+in+Young+Adulthood.&rft.aulast=Kandaswamy,alcohol use and gene by environment interaction and polygenic scores and Twins Early Development Study and young adulthood and AUDIT = Alcohol Use Disorder Identification Test and FDR = false discovery rate and G x E = gene by environment interaction and GPS = genome-wide polygenic scores and GSCAN = GWAS & Sequencing Consortium of Alcohol and Nicotine use and GWA = genome-wide association and PC = principal component and SELC = social and emotional learning competencies and SES = socioeconomic status and SNP = single-nucleotide polymorphism and TEDS = Twins Early Development Study and DRINKING and ASSOCIATION and CONSUMPTION and BEHAVIOR and TRAITS and STRESS and RISK,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Excluded: Biology/Engineering
GPS_DEC_0303,PsycINFO,Understanding the genetics of substance use: Novel phenotypic and large-scale genomic approaches,"Substance abuse is one of the leading causes of morbidity and mortality in both the developing and the developed worlds. For example, approximately 88,000 people die each year from alcohol- related causes and the annual cost to society of alcohol misuse is estimated to be $249,000,000,000. Converging lines of evidence indicate that these behaviors are substantially heritable: twin and adoption studies have found significant genetic effects for initiation, intensity of use, dependence, and abuse for alcohol, tobacco, marijuana, and other drugs. Genome-wide association studies (GWAS) and candidate gene studies have found a number of robust associations between genetic variants and substance use and dependence. Twin studies have found evidence for common genetic liability across drugs and for distinct genetic influences on substance use initiation and on quantity of use and substance dependence after initiation. Chapter 2 of this thesis describes a rare variant GWAS meta-analysis focused primarily on the role of exonic variants in alcohol and smoking behavior. Across 17 contributing studies, most using the Exome Chip, I assembled a total sample size of between 70,847 and 164,142 individuals for five standard phenotypes: cigarettes per day, smoking initiation, pack years, age of smoking initiation, and drinks per week. In this meta-analysis, I performed single variant tests, gene-based burden tests, and tests conditioned on the effects of common variants. I replicated a number of known associations but failed to find any reproducible novel associations. A modest portion of phenotypic variance (1.7-3.6%) was accounted for by all genotyped rare variants. In summary, if rare variants with large effect sizes exist for these traits, they must be substantially more rare than the modestly rare variants genotyped on the Exome Chip. It follows that large sequenced samples will be required to detect their effects. Chapter 3 of this thesis describes a twin study of adolescent substance use development which used smartphone applications and location tracking to measure twins' behavior and environmental exposures. Adolescence is a sensitive period for substance use. Individuals who initiate substance use in early adolescence are at higher risk for dependence diagnoses in adulthood than individuals who initiate later in adolescence. Excessive adolescent substance use is also associated with increased risk for accidental and intentional injuries. Genetic and environmental explanations for adolescent substance use have been advanced but few studies have examined specific environmental hypotheses while accounting for genetic confounding. In this chapter, I show that substance use behavior and related variables can be measured accurately and at high frequency by automated remote assessment and monitoring mediated through the participant's smartphone. I found that adolescent substance use and change in use is heritable, including e-cigarette use, a novel result. I used the participants' location data to measure the fraction of time they spent at school during the school day and at home at night, measures of delinquent behavior. These variables were not associated with substance use, contradicting previous results. I also found that the physical distance between twins in a twin pair increased with age and increased more quickly for dizygotic twins than for monozygotic twins, a violation of the equal environment assumption of the classic twin model and an indication that location is heritable. In conclusion, digital phenotyping methods can be used to obtain high quality, longitudinal data in a scalable fashion. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",2018,"Brazel, David",Dissertation Abstracts International: Section B: The Sciences and Engineering,NA,https://ezaccess.libraries.psu.edu/login?url=https://www.proquest.com/dissertations-theses/understanding-genetics-substance-use-novel/docview/2157568841/se-2?accountid=13158,genetics and substance use and genomic approaches marijuana and Empirical Study and Quantitative Study and Human and Drug Abuse and Genetics and Marijuana and Genome and 2100:General Psychology,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Excluded: Biology/Engineering
GPS_DEC_0441,PsycINFO,Italian Oncological Pain Survey (IOPS): A multicentre Italian study of breakthrough pain performed in different settings,"Objective: A survey of breakthrough pain (BTP) was performed in five palliative care units (PCU), seven oncology departments (ONC), and nine pain clinics (OPC). Methods: A standard algorithm was used to confirm the diagnosis of BTP of patients refereed to different settings. Results: 1,412 evaluable cancer patients were enrolled. 53.9% were males and the mean age was 63.7 +/- 13.1 years. The mean intensity of background pain was 2.8 +/- 0.73. Patients reported 2.4 +/- 1.1 BTP episodes/day with a mean intensity of 7.37 +/- 1.28. 80.6% patients reported that the BTP had a significant negative impact in everyday life. The majority of patients reported a fast onset of BTP, which was predictable in 50.7% of cases, while BTP with a gradual onset (> 10 min) was less predictable (29 %) ( P = 0.001). PCU patients were older, had lower Karnofsky levels, a lower number of BTP episodes/ day, a slow onset of BTP onset, and a less predictable BTP. Cancer diagnosis was performed a mean of 23.5 months (SD +/- 32.8) before the assessment. The mean duration of background pain was 3.5 months (SD +/- 3.5), and the mean duration of any analgesic treatment was 2.5 months (SD +/- 3). BTP started a mean of 2.2 months (SD +/- 1.9) before the assessment. Characteristics of BTP were influenced by the course of disease, as well as the duration of background pain and initiation of BTP. Most patients took rapid onset opioids and were satisfied with the treatment. BTP diagnosis was prevalently made by ONC and OPC physicians, and rarely by GPs. Conclusion: This survey performed by an Italian observatory expert review group, has confirmed that the BTP represents a clinically relevant condition with a negative impact on the patient's quality of life. BTP was detected in all settings involved. A number of factors are associated with the BTP. Also factors regarding the course of disease and setting of care have been assessed. This information may help in stratifying patients or predicting the risk of development of BTP with specific characteristics. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",2015,"Moruzzi G, Prestia G, Schembari M, Divizia M, Gianfelice V, Palombo E, De Meo B, Canneti A, Luzi M, Esposito G, Forte CA, Russo G, Donelli E, Silvestro S, Tonetti R, Carnevale A, Cavarra M, Rocco ZC, Giusti R, Iacono D, Enrici RM, Scaringi C, Ballerini G, Dodaro L, Vellucci R, Scagliarini S, Bressan AM, Chiappino I, Demichelis MM, Paze E, Ponzo C, Storto S, Bracchi P, Pigni A, Zecca E, Romano C, Silvestro L, Molinari E, Buonavolonta P, Di Dato MT, Ferrara M, Mignone C, Pironti A, Tammaro D, Monterubbianesi MC, Tassinari D, Cocchiarella A, Cuccu G, Gallo G, Saber B, Ali M, D'Agostino A, Gasperoni S, Meoni G, Muto A, Mutri V, Saltari R, Lombardello M, Cabiddu M and IOPS Study Group",The Clinical Journal of Pain,https://dx.doi.org/10.1097/AJP.0000000000000161,http://sk8es4mc2l.search.serialssolutions.com/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rfr_id=info:sid/Ovid:med12&rft.genre=article&rft_id=info:doi/10.1097%2FAJP.0000000000000161&rft_id=info:pmid/25654429&rft.issn=0749-8047&rft.volume=31&rft.issue=3&rft.spage=214&rft.pages=214-21&rft.date=2015&rft.jtitle=Clinical+Journal+of+Pain&rft.atitle=Italian+Oncological+Pain+Survey+%28IOPS%29%3A+a+multicentre+Italian+study+of+breakthrough+pain+performed+in+different+settings.&rft.aulast=Mercadante,breakthrough pain and cancer pain and rapid-onset opioids and palliative care and epidemiology and Empirical Study and Quantitative Study and Human and Male and Female and Outpatient and Adulthood (18 yrs & older) and Italy and article and Pain Thresholds and Pain Management and Drug Therapy and Opiates and Palliative Care and Oncology and Pain Measurement and Epidemiology and 2224:Clinical Psychological Testing and 3363:Medical Treatment of Physical Illness and Pain Clinics and Predictive Value of Tests and Breakthrough Pain and Humans and Middle Aged and Neoplasms and Health Surveys and Time Factors and Quality of Life and Aged,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Excluded: Biology/Engineering
GPS_DEC_0528,PsycINFO,Jaundice in primary care: a cohort study of adults aged >45 years using electronic medical records,"Background: Jaundice is a rare but important symptom of malignant and benign conditions. When patients present in primary care, understanding the relative likelihood of different disease processes can help GPs to investigate and refer patients appropriately. Objective: To identify and quantify the various causes of jaundice in adults presenting in primary care. Design: Historical cohort study using electronic primary care records. Setting: UK General Practice Research Database. Methods: Participants (186 814 men and women) aged >45 years with clinical events recorded in primary care records between 1 January 2005 and 31 December 2007. Data were searched for episodes of jaundice and explanatory diagnoses identified within the subsequent 12 months. If no diagnosis was found, the patient's preceding medical record was searched for relevant chronic diseases. Results: From the full cohort, 277 patients had at least one record of jaundice between 1 January 2005 and 31 December 2006. Ninety-two (33%) were found to have bile duct stones; 74 (27%) had an explanatory cancer [pancreatic cancer 34 (12%), cholangiocarcinoma 13 (5%) and other diagnosed primary malignancy 27 (10%)]. Liver disease attributed to excess alcohol explained 26 (9%) and other diagnoses were identified in 24 (9%). Sixty-one (22%) had no diagnosis related to jaundice recorded. Conclusion: Although the most common cause of jaundice is bile duct stones, cancers are present in over a quarter of patients with jaundice in this study, demonstrating the importance of urgent investigation into the underlying cause. (PsycInfo Database Record (c) 2022 APA, all rights reserved) (Source: journal abstract)",2012,"Taylor, Anna and Stapley, Sally and Hamilton, William",Family Practice,https://dx.doi.org/10.1093/fampra/cmr118,http://sk8es4mc2l.search.serialssolutions.com/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rfr_id=info:sid/Ovid:med9&rft.genre=article&rft_id=info:doi/10.1093%2Ffampra%2Fcmr118&rft_id=info:pmid/22247287&rft.issn=0263-2136&rft.volume=29&rft.issue=4&rft.spage=416&rft.pages=416-20&rft.date=2012&rft.jtitle=Family+Practice&rft.atitle=Jaundice+in+primary+care%3A+a+cohort+study+of+adults+aged+%3E45+years+using+electronic+medical+records.&rft.aulast=Taylor,"jaundice and primary care and electronic medical record and bile duct stones and Empirical Study and Quantitative Study and Human and Male and Female and Adulthood (18 yrs & older) and Middle Age (40-64 yrs) and Aged (65 yrs & older) and Very Old (85 yrs & older) and United Kingdom and article and Jaundice and Etiology and Medical Records and Primary Health Care and Bile and 3290:Physical & Somatic Disorders and Humans and Middle Aged and Liver Diseases, Alcoholic and Cholelithiasis and Great Britain and Aged, 80 and over and Bile Duct Neoplasms and Bile Ducts, Intrahepatic and Aged and Pancreatic Neoplasms and Electronic Health Records and Cholangiocarcinoma and Cohort Studies and Databases, Factual",NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Excluded: Biology/Engineering
GPS_DEC_0653,PsycINFO,Medication and treatment use in primary care patients with chronic pain of predominantly neuropathic origin,"Background: Neuropathic pain is widely recognized as one of the most difficult pain syndromes to treat and presents a significant challenge for pain clinicians and GPs. Methods: The Self-complete Leeds Assessment of Neuropathic Symptoms and Signs (S-LANSS) questionnaire, recently validated for identifying pain of predominantly neuropathic origin (POPNO), was sent to 6000 adults identified from general practices in the UK. The questionnaire also contained items about chronic pain identification, medications and treatments received for pain and the pain relief these provided. Results: In total, 1420/3002 (48%) of respondents indicated that they suffered with any chronic pain. These were further categorized as those with chronic pain who were S-LANSS negative ['chronic pain (non-POPNO)' group, n = 1179] and those with chronic pain who were S-LANSS positive, indicating the presence of POPNO ('chronic POPNO' group, n = 241). Questions relating to treatments and medications were completed by 88% of the respondents (1244/1420). The chronic POPNO group was more likely to receive multiple pain medications (37% versus 21% took two or more pain medications, P < 0.001) and stronger painkillers [e.g. opioids odds ratio 1.94; 95% confidence interval 1.10, 3.42]. Despite this, they reported less effective pain relief than the non-POPNO chronic pain group. Conclusion: Patients in primary care reporting chronic pain were found generally to obtain incomplete relief from their medication with chronic POPNO patients reporting less relief. It is important that patients with any chronic pain are identified and managed appropriately according to their distinct treatment needs. (PsycInfo Database Record (c) 2022 APA, all rights reserved) (Source: journal abstract)",2007,"Torrance, Nicola and Smith, Blair H. and Watson, Margaret C. and Bennett, Michael I.",Family Practice,https://dx.doi.org/10.1093/fampra/cmm042,http://sk8es4mc2l.search.serialssolutions.com/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rfr_id=info:sid/Ovid:med6&rft.genre=article&rft_id=info:doi/10.1093%2Ffampra%2Fcmm042&rft_id=info:pmid/17670804&rft.issn=0263-2136&rft.volume=24&rft.issue=5&rft.spage=481&rft.pages=481-5&rft.date=2007&rft.jtitle=Family+Practice&rft.atitle=Medication+and+treatment+use+in+primary+care+patients+with+chronic+pain+of+predominantly+neuropathic+origin.&rft.aulast=Torrance,"medication and treatment use and primary care patients and chronic pain and neuropathic origin and pain syndromes and clinicians and Empirical Study and Quantitative Study and Human and Male and Female and Adulthood (18 yrs & older) and Middle Age (40-64 yrs) and United Kingdom and article and Nervous System Disorders and Pain and Clinicians and Drug Therapy and Syndromes and Chronic Pain and 3363:Medical Treatment of Physical Illness and 3290:Physical & Somatic Disorders and Anti-Inflammatory Agents, Non-Steroidal and Severity of Illness Index and Prevalence and Humans and Middle Aged and Parasympatholytics and Antidepressive Agents and Urban Health and Anticonvulsants and Great Britain and Outcome and Process Assessment (Health Care) and Analgesics and Health Surveys and Physical Therapy Modalities and Adult and Aged and Primary Health Care and Central Nervous System Agents and Neuralgia and Pain Measurement and Chronic Disease",NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Excluded: Biology/Engineering
GPS_DEC_0783,PsycINFO,Passion and gambling: On the validation of the Gambling Passion Scale (GPS),"The purpose of the present research was to validate a measure of passion toward gambling: the Gambling Passion Scale (GPS). The GPS consists of two subscales (obsessive passion and harmonious passion) comprising five items each. Results from two studies involving a total of 340 participants, revealed satisfactory internal consistency and temporal stability indices, as well as a two-factor structure supported by exploratory and confirmatory factor analyses. A series of partial correlational analyses between the two subscales and scales assessing behavioral measures related to gambling supported the construct validity of the GPS. Results suggest that the GPS is a useful scale for research on gambling. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2002,"Rousseau, François and Vallerand, Robert J. and Ratelle, Catherine F. and Mageau, Genevìeve and Provencher, Pierre J.",Journal of Gambling Studies,https://doi.org/10.1023/A:1014532229487,https://ezaccess.libraries.psu.edu/login?url=https://www.proquest.com/scholarly-journals/passion-gambling-on-validation-scale-gps/docview/619872398/se-2?accountid=13158,obsessive passion and harmonious passion and scale validation and gambling behaviors and Empirical Study and Human and Male and Female and Adulthood (18 yrs & older) and Canada and article and Gambling and Passion and Test Validity and Obsessions and Emotional States and 3740:Recreation & Leisure and 2223:Personality Scales & Inventories and Psychiatric Status Rating Scales and Motivation and Humans and Middle Aged and Sensitivity and Specificity and Adult and Psychometrics,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Excluded: Biology/Engineering
GPS_DEC_0886,IEEE,Real-Time Alcohol Detection and Engine Immobilization System using GPS for Road Safety Applications,"Drunk driving is a factor in most traffic accidents that have been reported consistently in recent years. A significant portion of those who are victims of drunk driving have distorted mental patterns. Drunk driving and intoxicating passengers raise the risk to road safety, leading to numerous accidents. In this research paper, an efficient microcontroller-based real-time alcohol-triggered car engine locking system is modeled. The proposed initiative gives a real-time alcohol detection and passenger monitoring system using GPS to enhance road safety. The system employs an MQ3 alcohol sensor to detect alcohol levels in both the driver's and passenger's breath. If the driver is found to be intoxicated, the system immobilizes the engine, sends an alarm to the travel agency or transportation owner, and provides the vehicle's real-time location via GPS. Similarly, it integrates a Node MCU microcontroller, GPS module, and web server for real-time monitoring and decision-making. Experimental results demonstrate the system's effectiveness in accurately detecting alcohol levels, ensuring reliable engine immobilization, and providing precise location tracking by appropriate experimental results. The system's capacity to precisely monitor location, reliably deactivate the car, and detect alcohol levels is confirmed by experimental validation. This system offers a comprehensive solution to prevent accidents caused by drunk driving and intoxicating passengers, enhancing overall road safety.",2025,P. K. L and J. V. K and L. S. A and D. B,2025 5th International Conference on Expert Clouds and Applications (ICOECA),10.1109/ICOECA66273.2025.00172,NA,Microcontrollers and Real-time systems and Road safety and Web servers and Reliability and Engines and Monitoring and Global Positioning System and Vehicles and Accidents and Alcohol detection and Node MCU and GPS module and Web server and Location Monitoring,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Excluded: Biology/Engineering
GPS_DEC_0900,IEEE,Next-Generation Passive Sensing of Hazardous Liquid Dispersion Events Using Frequency-Selective Surfaces,"Timely detection of hazardous liquid releases is critical in high-risk environments, such as research laboratories and industrial facilities, where proactive safety measures are essential to prevent hazardous incidents. This letter introduces a battery-free, passive frequency-selective surface (FSS) structure designed for wireless, real-time detection of liquid spills and evaporation in hazardous environments. The FSS structure comprises an array of 25 x 25 modified ring resonator cells fabricated on a 0.25-mm-thick substrate operating at the resonant frequency of similar to 7.2 GHz. The FSS sensor is wirelessly interrogated at a distance of approximately 90 cm, beyond the near-field zone of the horn antenna. Upon interaction with the incident wave from the transceiver antenna, the renormalized reflection coefficient of the sensor is measured, exhibiting a resonant frequency of 7.2 GHz in its unexposed state. The sensor's response to various hazardous liquids, including ethanol, methanol, isopropyl alcohol (IPA), and acetone, was evaluated through both simulation and experimental measurements, revealing significant suppression of the resonant profile in all cases due to the high dielectric loss and permittivity of the materials. Time-resolved measurements conducted over three cycles of liquid exposure and evaporation confirmed the sensor's repeatable and reproducible response. A 200 MHz change of the S-11 minimum magnitude's frequency was observed in response to a 4 mL IPA release covering the FSS surface. These findings demonstrate the sensor's potential for effective hazardous liquid monitoring in challenging environments, enabling rapid hazard identification without reliance on active electronics, enhancing safety in laboratory settings.",2025,F. Niknahad and P. Casacuberta and A. M. Gargari and F. Martín and M. H. Zarifi,IEEE Sensors Letters,10.1109/LSENS.2025.3600532,NA,Frequency selective surface (FSS) and FSS sensors and FSS sensors and hazardous liquid detection and hazardous liquid detection and microwave sensors and microwave sensors and non-contact sensing and non-contact sensing and real-time spill detection and real-time spill detection and real-time spill detection and SENSOR and ANTENNA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Excluded: Biology/Engineering
GPS_DEC_0934,IEEE,IoT-Enabled Smart Helmet for Accident Detection and Rider Safety Compliance,"To increase motor vehicle riders' safety, this article suggests the development and deployment of a smart helmet system. For automated response and real-time supervision, the system includes several sensors, such as an MQ-3 alcohol sensor, global positioning system (GPS), global system for mobile communications (GSM), and a three-axis accelerometer, in addition to a radio frequency (RF) connection. The helmet prevents ignition to ensure safety compliance in situations where alcohol is detected and helmet is not worn. When an accident occurs and the rider does not respond within 30 seconds, the X, Y, and Z axes' acceleration is tracked, and real-time SMS alerts are delivered to the emergency registered mobile number. With its excellent position-tracking precision, the GPS module enables a quicker response to emergencies. Through simulation and testing with the Arduino IDE and Proteus software, the system's dependable functioning has been proven. This smart helmet type offers a practical way to lessen motorcycle-related accidents and fatalities by including preventive measures and a real-time alerting system.",2025,M. R. Singh and Y. Bulo,"2025 International Conference on Innovations in Intelligent Systems: Advancements in Computing, Communication, and Cybersecurity (ISAC3)",10.1109/ISAC364032.2025.11156346,NA,GSM and Radio frequency and Head and Sensor systems and Real-time systems and Safety and Intelligent sensors and Global Positioning System and Accidents and Testing and RF module and MQ-3 alcohol sensor and GPS and GSM module and ADXL345 and Arduino Uno and HT12D and HT12E,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Excluded: Biology/Engineering
GPS_DEC_0942,IEEE,A Novel Approach for Vehicular Accident Detection and Rescue Alert System using IoT with Convolutional Neural Network,"Road accidents are become a big concern for the public. This study describes a system for preventing accidents that involves alcohol detection with a MQ3 alcohol sensor, followed by a message alert to a rescue worker or family members. An SW-420 vibration sensor is used by the detecting component to identify any unusual vibrations that might result from a collision. Supervised deep learning CNN methods go along with this. The front camera of the car is utilized to take a picture of the accident scene for the deep learning accident prediction model. After a collision is discovered, communication is transmitted to the closest evacuation facility utilizing GPS and GSM modules. Once the Vehicle is involved in a collision following vehicle will be get notified through VANET. The alcohol sensor will then determine if the driver has consumed alcohol or not and if they need to operate the vehicle in an emergency when they are intoxicated. Then, as a result of driving too fast, multiple accidents occurred. So, when the car exceeds the speed limit, an immediate warning will be sent through GSM Module. Finally, Accident analysis device can be used for smart cities using supervised deep learning CNN methods.",2023,R. Sathya and S. Ananthi and M. R. S. Abirame and R. Nikalya and A. Madhupriya and M. Prithiusha,2023 9th International Conference on Advanced Computing and Communication Systems (ICACCS),10.1109/ICACCS57279.2023.10113043,NA,Deep learning and Vibrations and GSM and Smart cities and Vehicular ad hoc networks and Convolutional neural networks and Internet of Things and Internet of Things (IOT) and MQ3 Alcohol Sensor and GSM and speed limit and GPS and CNN and Accident Detection,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Excluded: Biology/Engineering
